Description	Parent Number	Parent Filing or 371(c) Date	Parent Status	Patent Number
This application is a Continuation of	09/504,374	02-15-2000	Patented	7,379,900
is a Division of	08/668,561	06-21-1996	Patented	6,055,514
is a Continuation-in-part of	08/268,309	06-29-1994	Abandoned	-
is a Continuation-in-part of	08/264,184	06-22-1994	Abandoned	-
is a continuation of	08/051,743	04-22-1993	Abandoned	-
is a Continuation-in-part of	07/855,099	03-20-1992	Abandoned	-

Child Continuity Data
