Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
10-14-2009	ISSUE.NTF	Issue Notification	PROSECUTION	1	11171880-2009-10-14-00001-ISSUE.NTF.pdf
09-21-2009	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	11171880-2009-09-21-00003-IFEE.pdf
09-21-2009	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11171880-2009-09-21-00002-WFEE.pdf
09-21-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11171880-2009-09-21-00001-N417.pdf
06-26-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	10	11171880-2009-06-26-00007-NOA.pdf
06-26-2009	892	List of references cited by examiner	PROSECUTION	1	11171880-2009-06-26-00006-892.pdf
06-26-2009	BIB	Bibliographic Data Sheet	PROSECUTION	1	11171880-2009-06-26-00005-BIB.pdf
06-26-2009	SRNT	Examiner's search strategy and results	PROSECUTION	3	11171880-2009-06-26-00004-SRNT.pdf
06-26-2009	FWCLM	Index of Claims	PROSECUTION	1	11171880-2009-06-26-00003-FWCLM.pdf
06-26-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11171880-2009-06-26-00002-SRFW.pdf
06-26-2009	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	11171880-2009-06-26-00001-IIFW.pdf
04-13-2009	A...	Amendment/Req. Reconsideration-After Non-Final Reject	PROSECUTION	1	11171880-2009-04-13-00003-A....pdf
04-13-2009	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	11171880-2009-04-13-00002-REM.pdf
04-13-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11171880-2009-04-13-00001-N417.pdf
03-06-2009	N570	Communication - Re: Power of Attorney (PTOL-308)	PROSECUTION	1	11171880-2009-03-06-00002-N570.pdf
03-06-2009	N570	Communication - Re: Power of Attorney (PTOL-308)	PROSECUTION	1	11171880-2009-03-06-00001-N570.pdf
02-24-2009	PA..	Power of Attorney	PROSECUTION	1	11171880-2009-02-24-00002-PA...pdf
02-24-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11171880-2009-02-24-00001-N417.pdf
01-14-2009	CTNF	Non-Final Rejection	PROSECUTION	7	11171880-2009-01-14-00008-CTNF.pdf
01-14-2009	892	List of references cited by examiner	PRIOR ART	1	11171880-2009-01-14-00007-892.pdf
01-14-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	11171880-2009-01-14-00006-1449.pdf
01-14-2009	FWCLM	Index of Claims	PROSECUTION	1	11171880-2009-01-14-00005-FWCLM.pdf
01-14-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11171880-2009-01-14-00004-SRFW.pdf
01-14-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	5	11171880-2009-01-14-00003-1449.pdf
01-14-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	6	11171880-2009-01-14-00002-1449.pdf
01-14-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	11171880-2009-01-14-00001-1449.pdf
07-14-2008	TRAN.LET	Transmittal Letter	PROSECUTION	2	11171880-2008-07-14-00002-TRAN.LET.pdf
07-14-2008	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	2	11171880-2008-07-14-00001-IDS.pdf
03-14-2008	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	2	11171880-2008-03-14-00003-IDS.pdf
03-14-2008	TRAN.LET	Transmittal Letter	PROSECUTION	2	11171880-2008-03-14-00002-TRAN.LET.pdf
