Application Number	11/854,213
Filing or 371 (c) Date	09-12-2007
Application Type	Utility
Examiner Name	THOMAS, COURTNEY D
Group Art Unit	2882
Confirmation Number	4458
Attorney Docket Number	PSD-00102
Class / Subclass	378/088
First Named Inventor	Robert J. Ledoux , Harvard, MA (US)
Customer Number	-
Status	Patented Case
Status Date	11-24-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0179502 A1
Earliest Publication Date	07-31-2008
Patent Number	7,634,058
Issue Date of Patent	12-15-2009
Title of Invention	METHODS AND SYSTEMS FOR DETERMINING THE AVERAGE ATOMIC NUMBER AND MASS OF MATERIALS
