Description	Parent Number	Parent Filing or 371(c) Date	Parent Status	Patent Number
This application is National Stage Entry of	PCT/US04/21827	07-09-2004	Published	-
Claims Priority from Provisional Application	60/485,749	07-10-2003	Expired	-

Child Continuity Data
