Description	Parent Number	Parent Filing or 371(c) Date	Parent Status	Patent Number
This application is a Continuation of	12/360,102	01-26-2009	Patented	7,779,446
is a continuation of	10/339,700	01-08-2003	Patented	7,543,325
Claims Priority from Provisional Application	60/347,181	01-08-2002	Expired	-
is a Continuation-in-part of	09/422,121	10-20-1999	Patented	7,665,111

Child Continuity Data
13/686,806 filed on 11-27-2012 which is Pending claims the benefit of 12/806,661
