Application Number	11/264,933
Filing or 371 (c) Date	11-02-2005
Application Type	Utility
Examiner Name	KALAFUT, STEPHEN J
Group Art Unit	1795
Confirmation Number	6191
Attorney Docket Number	IIW-046
Class / Subclass	429/023
First Named Inventor	Daishi Igarashi , Saitama-ken, (JP)
Customer Number	-
Status	Patented Case
Status Date	10-28-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0093880 A1
Earliest Publication Date	05-04-2006
Patent Number	7,618,728
Issue Date of Patent	11-17-2009
Title of Invention	FUEL CELL SYSTEM AND METHOD OF CONTROLLING IDLE STOP OF THE FUEL CELL SYSTEM
