Description	Parent Number	Parent Filing or 371(c) Date	Parent Status	Patent Number
This application is a Division of	10/720,001	11-20-2003	Patented	RE40859
is a Reissue of	09/082,070	05-20-1998	Patented	6,320,574
is a continuation of	08/803,824	02-24-1997	Patented	5,796,392

Child Continuity Data
12/624,053 filed on 11-23-2009 which is Pending claims the benefit of 11/408,669
