Application Number	11/171,880
Filing or 371 (c) Date	06-29-2005
Application Type	Utility
Examiner Name	DADA, BEEMNET W
Group Art Unit	2435
Confirmation Number	4651
Attorney Docket Number	ITL.2073US (P21494)
Class / Subclass	713/167
First Named Inventor	Vincent R. Scaralata , Beaverton, OR (US)
Customer Number	-
Status	Patented Case
Status Date	10-14-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0256108 A1
Earliest Publication Date	11-16-2006
Patent Number	7,613,921
Issue Date of Patent	11-03-2009
Title of Invention	METHOD AND APPARATUS FOR REMOTELY PROVISIONING SOFTWARE-BASED SECURITY COPROCESSORS
