Application Number	11/853,501
Filing or 371 (c) Date	09-11-2007
Application Type	Utility
Examiner Name	MEMULA, SURESH
Group Art Unit	2825
Confirmation Number	3142
Attorney Docket Number	AAH0005US
Class / Subclass	716/004
First Named Inventor	Adnan A. Hamid , Austin, TX (US)
Customer Number	-
Status	Patented Case
Status Date	11-17-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	-
Earliest Publication Date	-
Patent Number	7,849,425
Issue Date of Patent	12-07-2010
Title of Invention	GENERATING SELF-CHECKING TEST CASES FROM A REDUCED CASE ANALYSIS GRAPH USING PATH INHERITANCE
