Application Number	11/316,126
Filing or 371 (c) Date	12-22-2005
Application Type	Utility
Examiner Name	DINH, TIEN QUANG
Group Art Unit	3644
Confirmation Number	1744
Attorney Docket Number	AIRBUS 3.0-049
Class / Subclass	244/218
First Named Inventor	Barnaby Law , Weyhe, (DE)
Customer Number	-
Status	Patented Case
Status Date	10-07-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0226291 A1
Earliest Publication Date	10-12-2006
Patent Number	7,607,617
Issue Date of Patent	10-27-2009
Title of Invention	WING UNIT, IN PARTICULAR SPAR BOX, FOR FORMING AERODYNAMICALLY ACTIVE SURFACES OF AN AIRCRAFT, IN PARTICULAR AIRFOILS, HORIZONTAL TAIL UNITS OR RUDDER UNITS OF A PLANE
