Description	Parent Number	Parent Filing or 371(c) Date	Parent Status	Patent Number
This application is a Continuation of	09/380,900	09-07-1999	Abandoned	-
is National Stage Entry of	PCT/IB98/00936	06-16-1998	Published	-

Child Continuity Data
