Application Number	11/416,939
Filing or 371 (c) Date	05-03-2006
Application Type	Utility
Examiner Name	HOGUE, DENNIS A
Group Art Unit	2622
Confirmation Number	8253
Attorney Docket Number	06315/LH
Class / Subclass	348/336
First Named Inventor	Takeyuki Ajito , Hachioji-shi, (JP)
Customer Number	-
Status	Patented Case
Status Date	10-14-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0203100 A1
Earliest Publication Date	09-14-2006
Patent Number	7,612,822
Issue Date of Patent	11-03-2009
Title of Invention	MULTISPECTRAL IMAGE CAPTURING APPARATUS
